"Scenario","Iter","Parameter","Value"
"WorkFlow",44,"K21",2.13039
"WorkFlow",45,"-2LL",6505.17268
"WorkFlow",45,"CMultStdev",0.534002
"WorkFlow",45,"tvVmax",3640.81
"WorkFlow",45,"tvKm",1735.7
"WorkFlow",45,"tvV",58.2454
"WorkFlow",45,"tvKa",0.738149
"WorkFlow",45,"K12",2.46455
"WorkFlow",45,"K21",2.15837
"WorkFlow",46,"-2LL",6505.116
"WorkFlow",46,"CMultStdev",0.533499
"WorkFlow",46,"tvVmax",3650.35
"WorkFlow",46,"tvKm",1740.01
"WorkFlow",46,"tvV",58.2244
"WorkFlow",46,"tvKa",0.740467
"WorkFlow",46,"K12",2.46751
"WorkFlow",46,"K21",2.15853
"WorkFlow",47,"-2LL",6505.04074
"WorkFlow",47,"CMultStdev",0.531753
"WorkFlow",47,"tvVmax",3670.51
"WorkFlow",47,"tvKm",1752.45
"WorkFlow",47,"tvV",58.1072
"WorkFlow",47,"tvKa",0.746844
"WorkFlow",47,"K12",2.47464
"WorkFlow",47,"K21",2.16007
"WorkFlow",48,"-2LL",6504.99946
"WorkFlow",48,"CMultStdev",0.531007
"WorkFlow",48,"tvVmax",3681.22
"WorkFlow",48,"tvKm",1757.87
"WorkFlow",48,"tvV",58.0353
"WorkFlow",48,"tvKa",0.750575
"WorkFlow",48,"K12",2.47785
"WorkFlow",48,"K21",2.15337
"WorkFlow",49,"-2LL",6504.95722
"WorkFlow",49,"CMultStdev",0.530982
"WorkFlow",49,"tvVmax",3686.93
"WorkFlow",49,"tvKm",1762.26
"WorkFlow",49,"tvV",57.9749
"WorkFlow",49,"tvKa",0.752762
"WorkFlow",49,"K12",2.4777
"WorkFlow",49,"K21",2.14856
"WorkFlow",50,"-2LL",6504.8887
"WorkFlow",50,"CMultStdev",0.530577
"WorkFlow",50,"tvVmax",3702.01
"WorkFlow",50,"tvKm",1774.5
"WorkFlow",50,"tvV",57.8117
"WorkFlow",50,"tvKa",0.757745
"WorkFlow",50,"K12",2.47542
"WorkFlow",50,"K21",2.13878
"WorkFlow",51,"-2LL",6504.78908
"WorkFlow",51,"CMultStdev",0.531575
"WorkFlow",51,"tvVmax",3722.66
"WorkFlow",51,"tvKm",1786.43
"WorkFlow",51,"tvV",57.7141
"WorkFlow",51,"tvKa",0.760667
"WorkFlow",51,"K12",2.46692
"WorkFlow",51,"K21",2.12091
"WorkFlow",52,"-2LL",6504.58292
"WorkFlow",52,"CMultStdev",0.533803
"WorkFlow",52,"tvVmax",3761.84
"WorkFlow",52,"tvKm",1810.18
"WorkFlow",52,"tvV",57.6676
"WorkFlow",52,"tvKa",0.760955
"WorkFlow",52,"K12",2.44824
"WorkFlow",52,"K21",2.10415
"WorkFlow",53,"-2LL",6504.12964
"WorkFlow",53,"CMultStdev",0.53969
"WorkFlow",53,"tvVmax",3877.04
"WorkFlow",53,"tvKm",1877.33
"WorkFlow",53,"tvV",57.7578
"WorkFlow",53,"tvKa",0.755021
"WorkFlow",53,"K12",2.40335
"WorkFlow",53,"K21",2.07805
"WorkFlow",54,"-2LL",6503.59672
"WorkFlow",54,"CMultStdev",0.540906
"WorkFlow",54,"tvVmax",3992.13
"WorkFlow",54,"tvKm",1951.42
"WorkFlow",54,"tvV",57.9102
"WorkFlow",54,"tvKa",0.745579
"WorkFlow",54,"K12",2.35955
"WorkFlow",54,"K21",2.07852
"WorkFlow",55,"-2LL",6503.09976
"WorkFlow",55,"CMultStdev",0.541628
"WorkFlow",55,"tvVmax",4360.39
"WorkFlow",55,"tvKm",2190.15
"WorkFlow",55,"tvV",58.3051
"WorkFlow",55,"tvKa",0.721715
"WorkFlow",55,"K12",2.24882
